Survey_ID,SurveyYear,StateID,Commodity,DataItem,Value,Volume,UnitCost,Measure
11618,1983,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",63882000,17995000,$3.55,BU
11619,1983,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",10787000,67000,$161.00,TONS
11620,1983,1,HAY,"HAY - PRODUCTION, MEASURED IN $",66040000,1040000,$63.50,TONS
11621,1983,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2842000,1960000,$1.45,BU
11622,1983,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",13588000,4300000,$3.16,BU
11623,1983,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",234000000,30000000,$7.80,BU
11625,1983,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",49335000,15180000,$3.25,BU
11624,1983,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",49335000,15180000,$3.25,BU
11301,1984,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",71321000,25025000,$2.85,BU
11302,1984,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",14931000,158000,$94.50,TONS
11303,1984,1,HAY,"HAY - PRODUCTION, MEASURED IN $",86360000,1360000,$63.50,TONS
11304,1984,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2376000,1440000,$1.65,BU
11305,1984,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",21960000,9000000,$2.44,BU
11306,1984,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",174634000,28770000,$6.07,BU
11308,1984,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",48165000,14820000,$3.25,BU
11307,1984,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",48165000,14820000,$3.25,BU
10987,1985,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",56063000,24375000,$2.30,BU
10988,1985,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",10584000,189000,$56.00,TONS
10989,1985,1,HAY,"HAY - PRODUCTION, MEASURED IN $",97020000,1540000,$63.00,TONS
10990,1985,1,OATS,"OATS - PRODUCTION, MEASURED IN $",2224000,1435000,$1.55,BU
10991,1985,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",23782000,12650000,$1.88,BU
10992,1985,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",140719000,27810000,$5.06,BU
10994,1985,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",39040000,12800000,$3.05,BU
10993,1985,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",39040000,12800000,$3.05,BU
10673,1986,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",29241000,15390000,$1.90,BU
10674,1986,1,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $",7564000,122000,$62.00,TONS
10675,1986,1,HAY,"HAY - PRODUCTION, MEASURED IN $",73360000,1120000,$65.50,TONS
10676,1986,1,OATS,"OATS - PRODUCTION, MEASURED IN $",1380000,1200000,$1.15,BU
10677,1986,1,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",5720000,4000000,$1.43,BU
10678,1986,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",68887000,14030000,$4.91,BU
10679,1986,1,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",14872000,5720000,$2.60,BU
10680,1986,1,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN $",14872000,5720000,$2.60,BU
10360,1987,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",42300000,18000000,$2.35,BU
